team1_name,team2_name,map_number,champs1_names,champs2_names,win,match_day,first_blood,kills_5
NRG,Immortals,1,"Maokai, Zyra, Twitch, Vladimir, Rek'Sai","Irelia, Olaf, Ryze, Sivir, Nami",100,2016-06-11,200,100
Immortals,NRG,2,"Irelia, Nidalee, Twisted Fate, Sivir, Soraka","Maokai, Graves, Lissandra, Sivir, Zyra",100,2016-06-11,200,200
NRG,Immortals,3,"Maokai, Gragas, Sivir, Karma, Vladimir","Anivia, Caitlyn, Zyra, Rek'Sai, Irelia",200,2016-06-11,100,100
Apex,EnvyUs,1,"Shen, Rek'Sai, Caitlyn, Viktor, Braum","Irelia, Elise, Swain, Sivir, Karma",200,2016-06-10,,
EnvyUs,Apex,2,"Irelia, Graves, Ekko, Sivir, Zyra","Jarvan IV, Rek'Sai, Zilean, Caitlyn, Bard",200,2016-06-10,,
Apex,EnvyUs,3,"Jax, Elise, Swain, Caitlyn, Braum","Fizz, Kindred, Anivia, Karma, Ezreal",200,2016-06-11,100,200
Liquid,CLG,1,"Irelia, Rek'Sai, Azir, Lucian, Braum","Swain, Vladimir, Graves, Ezreal, Karma",100,2016-06-11,100,100
CLG,Liquid,2,"Jax, Kindred, Swain, Caitlyn, Alistar","Maokai, Graves, Vladimir, Lucian, Braum",100,2016-06-11,100,100
Liquid,CLG,3,"Maokai, Kindred, Azir, Ashe, Zyra","Fizz, Elise, Varus, Alistar, Caitlyn",200,2016-06-11,200,200
NRG,Echo Fox,1,"Maokai, Gragas, Viktor, Sivir, Karma","Fizz, Rek'Sai, Swain, Ashe, Braum",100,2016-06-11,200,200
Echo Fox,NRG,2,"Maokai, Graves, Anivia, Sivir, Braum","Illaoi, Nidalee, Ziggs, Vayne, Karma",200,2016-06-11,200,200
Phoenix1,Cloud9,1,"Maokai, Nidalee, Lucian, Karma, Viktor","Trundle, Rek'Sai, Sivir, Bard, Azir",200,2016-06-11,200,200
Cloud9,Phoenix1,2,"Maokai, Kindred, Azir, Caitlyn, Karma","Irelia, Elise, Varus, Sivir, Zyra",200,2016-06-11,100,200
Phoenix1,Cloud9,3,"Irelia, Rek'Sai, Azir, Caitlyn, Zyra","Maokai, Olaf, Viktor, Sivir, Bard",200,2016-06-11,200,200
TSM,Apex,1,"Swain, Rek'Sai, Azir, Lucian, Bard","Fizz, Kindred, Karma, Ashe, Zilean",100,2016-06-11,200,200
Apex,TSM,2,"Trundle, Nidalee, Zilean, Ashe, Braum","Fizz, Rek'Sai, Lucian, Karma, Viktor",200,2016-06-11,200,200
TSM,Immortals,1,"Trundle, Rek'Sai, Vladimir, Lucian, Nami","Irelia, Graves, Anivia, Sivir, Karma",100,2016-06-12,100,100
Immortals,TSM,2,"Irealia, Rek'Sai, Soraka, Ashe, Viktor","Maokai, Graves, Lucian, Braum, Lissandra",100,2016-06-12,200,100
TSM,Immortals,3,"Swain, Rek'Sai, Bard, Lucian, Zilean","Irelia, Viktor, Karma, Ashe, Olaf",100,2016-06-12,200,100
EnvyUs,Phoenix1,1,"Renekton, Nidalee, Lissandra, Lucian, Karma","Irelia, Kindred, Viktor, Sivir, Bard",100,2016-06-12,200,200
Phoenix1,EnvyUs,2,"Shen, Kindred, Vladimir, Bard, Sivir","Irelia, Olaf, Anivia, Ezreal, Karma",200,2016-06-12,200,200
Echo Fox,Liquid,1,"Fiora, Elise, Viktor, Lucian, Zyra","Trundle, Regnar, Zilean, Ezreal, Karma",200,2016-06-12,200,100
Liquid,Echo Fox,2,"Irelia, Elise, Ryze, Tristana, Zyra","Jax, Gragas, Viktor, Ashe, Alistar",100,2016-06-12,200,200
CLG,Cloud9,1,"Swain, Rek'Sai, Viktor, Lucian, Braum","Trundle, Gragas, Azir, Ashe, Thresh",200,2016-06-12,200,200
Cloud9,CLG,2,"Fizz, Rek'Sai, Viktor, Caitlyn, Nami","Trundle, Gragas, Lissandra, Sivir, Soraka",100,2016-06-12,100,100
